,No of Bedrooms,No of Bathrooms,Lot Area (in Sqft),No of Floors,No_of_Times_Visited,Condition_of_the_House,Overall Grade,Area of the House from Basement (in Sqft),Basement Area (in Sqft),Age of House (in Years),Renovated Year,Longitude,Living Area after Renovation (in Sqft),Lot Area after Renovation (in Sqft),no_of_years(house sold),house_is,Zipcode_table_Zipcode_2,Zipcode_table_Zipcode_3,Zipcode_table_Zipcode_4,Zipcode_table_Zipcode_5,Zipcode_table_Zipcode_6,Zipcode_table_Zipcode_7,Zipcode_table_Zipcode_8,Zipcode_table_Zipcode_9,Zipcode_table_Zipcode_10,sale_price
18,2,1.0,9850.0,1.0,0,2,7,1200.0,0,97,0,-122.21,1060.0,5095,5,2,0,0,0,0,0,0,0,0,0,189000.0
19,3,1.0,9774.0,1.0,0,2,7,1250.0,0,49,0,-122.306,1280.0,8850,6,1,1,0,0,0,0,0,0,0,0,230000.0
20,4,1.75,4980.0,1.0,0,2,7,860.0,760,71,0,-122.341,1400.0,4980,5,2,0,1,0,0,0,0,0,0,0,385000.0
21,3,2.75,44867.0,1.0,4,2,9,2330.0,720,50,0,-122.233,4110.0,20336,5,1,0,0,0,0,0,0,0,0,1,806525.0
22,5,2.5,6300.0,2.0,0,2,8,2270.0,0,23,0,-122.169,2240.0,7005,5,1,1,0,0,0,0,0,0,0,0,285000.0
23,2,1.5,9643.0,1.0,0,2,7,1070.0,0,33,0,-122.166,1220.0,8386,5,1,1,0,0,0,0,0,0,0,0,252700.0
24,3,2.25,6500.0,2.0,0,2,8,2450.0,0,33,0,-122.172,2200.0,6865,5,1,1,0,0,0,0,0,0,0,0,329000.0
25,3,2.0,4697.0,1.5,0,3,6,1710.0,0,77,0,-122.218,1030.0,4705,5,2,0,0,0,0,0,0,0,0,0,233000.0
26,3,1.75,2691.0,2.0,0,2,8,1750.0,700,103,0,-122.36,1760.0,3573,5,2,0,0,0,0,0,0,1,0,0,806525.0
27,3,1.0,1581.0,1.5,0,3,8,1400.0,0,109,0,-122.314,1860.0,3861,5,2,0,0,0,0,0,0,0,1,0,667000.0
28,3,1.75,6380.0,1.0,0,2,7,790.0,730,70,0,-122.304,1520.0,6235,5,2,0,0,0,0,0,1,0,0,0,438000.0
29,4,2.5,7173.0,2.0,0,2,8,2570.0,0,13,0,-122.11,2630.0,6026,6,1,0,0,0,0,0,1,0,0,0,719000.0
30,3,2.5,3980.0,2.0,0,2,8,2320.0,0,15,0,-122.07,2580.0,3980,5,1,0,0,0,0,1,0,0,0,0,580500.0
31,2,1.5,1265.0,3.0,0,2,7,1190.0,0,13,0,-122.357,1390.0,1756,5,1,0,1,0,0,0,0,0,0,0,280000.0
32,4,1.75,5000.0,1.5,0,2,7,1510.0,820,89,0,-122.368,1460.0,5000,5,2,0,0,0,0,1,0,0,0,0,687500.0
33,3,1.0,3000.0,1.5,0,2,8,1090.0,0,89,0,-122.375,1570.0,5080,5,2,0,0,0,0,1,0,0,0,0,535000.0
34,4,2.75,6659.0,1.0,0,2,7,1280.0,780,37,0,-122.157,2020.0,8720,5,1,0,1,0,0,0,0,0,0,0,322500.0
35,3,2.5,3060.0,1.5,0,2,8,1510.0,790,88,2002,-122.31,1590.0,3264,5,2,0,0,0,0,0,1,0,0,0,696000.0
36,4,1.0,34848.0,1.0,0,1,5,930.0,730,85,0,-122.132,2160.0,11467,5,2,0,0,0,0,0,1,0,0,0,550000.0
37,4,2.0,6000.0,2.0,0,2,8,2360.0,0,114,0,-122.362,1730.0,4700,5,2,0,0,0,0,1,0,0,0,0,640000.0
38,4,1.0,8075.0,1.0,0,1,7,890.0,330,49,0,-122.282,1290.0,7800,6,1,0,0,0,0,0,0,0,0,0,240000.0
39,4,2.5,7553.0,2.0,0,2,8,2620.0,0,22,0,-122.18,2620.0,11884,5,1,0,0,1,0,0,0,0,0,0,605000.0
40,4,2.5,5520.0,2.0,0,2,9,2570.0,0,18,0,-122.027,2470.0,5669,5,1,0,0,0,0,0,0,1,0,0,625000.0
41,4,2.25,24186.0,1.0,0,2,8,2600.0,1620,34,0,-122.347,2410.0,30617,5,1,0,0,1,0,0,0,0,0,0,775000.0
42,5,2.75,5639.0,2.0,0,2,9,3595.0,0,4,0,-122.016,3625.0,5639,5,0,0,0,0,0,0,1,0,0,0,806525.0
43,3,1.0,2280.0,2.0,0,2,7,1570.0,0,96,0,-122.364,1580.0,2640,5,2,0,0,0,0,0,0,1,0,0,685000.0
44,3,1.0,9656.0,1.0,0,2,6,920.0,360,59,0,-122.175,1340.0,8808,5,2,0,1,0,0,0,0,0,0,0,309000.0
45,3,2.5,13603.0,2.0,0,2,8,3160.0,0,15,0,-121.977,3050.0,9232,5,1,0,0,1,0,0,0,0,0,0,488000.0
46,3,1.0,8528.0,1.0,0,2,6,990.0,0,52,0,-122.371,1228.0,8840,6,2,0,0,0,0,0,0,0,0,0,210490.0
47,4,2.5,13416.0,2.0,0,2,9,2290.0,0,37,0,-122.151,2680.0,13685,5,1,0,0,0,0,0,1,0,0,0,785000.0
48,3,1.75,5963.0,1.0,0,2,7,1250.0,0,65,0,-122.301,970.0,5100,6,2,0,0,0,0,0,1,0,0,0,450000.0
49,3,2.5,65005.0,1.0,2,3,9,2165.0,588,65,0,-122.451,2680.0,72513,6,2,0,0,0,1,0,0,0,0,0,806525.0
50,3,1.0,9199.0,1.0,0,2,7,1190.0,0,63,0,-122.322,1190.0,9364,5,2,0,0,0,0,0,0,0,0,0,228000.0
51,5,2.5,9134.0,1.0,0,2,8,1640.0,1510,52,0,-122.189,1990.0,9133,6,2,0,0,1,0,0,0,0,0,0,345000.0
52,3,1.75,4080.0,1.0,0,2,7,1000.0,410,68,0,-122.384,1410.0,4080,5,2,0,0,0,0,1,0,0,0,0,600000.0
53,2,1.75,8550.0,1.0,0,2,7,990.0,990,37,0,-122.369,1480.0,6738,6,1,0,0,0,0,1,0,0,0,0,585000.0
54,5,2.25,6000.0,1.5,0,2,8,2130.0,600,91,0,-122.281,2730.0,6000,6,2,0,0,0,0,0,0,1,0,0,806525.0
55,4,2.5,5000.0,2.0,0,2,9,2830.0,0,23,0,-122.29,1950.0,5000,5,1,0,0,0,0,0,0,1,0,0,806525.0
56,4,2.5,4495.0,2.0,0,2,7,2250.0,0,10,0,-122.114,2250.0,4500,5,0,1,0,0,0,0,0,0,0,0,292500.0
57,3,2.5,4750.0,2.0,0,2,8,2420.0,0,15,0,-122.122,2690.0,4750,6,1,1,0,0,0,0,0,0,0,0,301000.0
58,5,3.25,14342.0,2.0,4,2,8,3250.0,0,50,0,-122.116,2960.0,11044,5,1,0,0,0,0,1,0,0,0,0,806525.0
59,4,3.0,9976.0,2.0,0,2,8,1850.0,0,27,0,-122.149,2270.0,8542,6,1,0,0,0,1,0,0,0,0,0,430000.0
60,3,2.25,21235.0,1.0,3,2,8,1590.0,560,59,0,-122.339,2570.0,18900,5,2,0,0,1,0,0,0,0,0,0,650000.0
61,3,1.75,8400.0,1.0,0,2,7,1260.0,0,64,0,-122.335,1290.0,8750,5,2,0,0,0,0,0,0,0,0,0,289000.0
62,3,1.75,8690.0,2.0,0,3,8,2519.0,0,45,0,-122.344,2500.0,9500,5,1,0,0,1,0,0,0,0,0,0,505000.0
63,3,1.75,1044.0,3.0,0,2,8,1540.0,0,4,0,-122.32,1580.0,3090,5,0,0,0,0,0,0,1,0,0,0,549000.0
64,3,2.25,6000.0,1.0,0,2,7,1110.0,550,39,0,-122.297,1440.0,4080,5,1,0,0,0,0,0,1,0,0,0,425000.0
65,3,2.75,3809.0,1.5,0,3,7,1770.0,1000,93,0,-122.304,1440.0,4000,5,2,0,0,0,1,0,0,0,0,0,317625.0
66,4,2.5,11049.0,2.0,0,2,10,2720.0,0,29,0,-122.192,2750.0,11049,5,1,0,0,0,0,0,0,0,0,1,806525.0
67,4,2.5,4648.0,2.0,0,2,7,2240.0,0,13,0,-122.257,2221.0,4557,5,1,0,0,0,0,0,0,0,0,0,287000.0
68,3,1.0,12070.0,1.0,0,2,7,1000.0,0,50,0,-122.11,1010.0,12635,5,1,1,0,0,0,0,0,0,0,0,204000.0
69,5,2.25,20158.0,1.0,0,2,8,1600.0,1600,53,0,-122.215,3390.0,20158,5,2,0,0,0,0,0,0,0,0,1,806525.0
70,5,3.25,50094.0,1.0,0,2,10,3070.0,1700,45,0,-122.16,3530.0,38917,5,1,0,0,0,0,0,0,0,1,0,806525.0
71,3,2.0,5612.0,1.0,0,2,7,1260.0,0,46,0,-122.179,1640.0,4745,6,1,0,0,0,1,0,0,0,0,0,325000.0
72,4,2.0,7807.0,1.5,0,3,7,2250.0,500,102,0,-122.287,1510.0,7807,5,2,0,0,1,0,0,0,0,0,0,571000.0
73,4,2.5,5000.0,2.0,0,2,8,2380.0,0,13,0,-122.036,2420.0,5000,5,1,0,1,0,0,0,0,0,0,0,360000.0
74,3,1.75,50529.0,1.0,0,3,7,1090.0,700,53,0,-122.073,1940.0,50529,6,2,1,0,0,0,0,0,0,0,0,349000.0
75,4,4.0,35102.0,2.0,0,2,10,2390.0,1040,32,0,-121.987,3240.0,35020,5,1,0,0,0,0,0,0,0,1,0,806525.0
76,4,1.75,7300.0,1.0,0,2,7,880.0,880,62,0,-122.125,1680.0,7500,5,2,0,0,0,0,1,0,0,0,0,380000.0
77,3,1.0,5060.0,1.0,0,2,7,1040.0,0,77,0,-122.394,890.0,5060,6,2,0,0,0,0,1,0,0,0,0,480000.0
78,3,1.0,5060.0,1.0,0,2,7,910.0,500,62,0,-122.34,1130.0,5693,5,2,0,1,0,0,0,0,0,0,0,410000.0
79,4,2.5,39683.0,2.0,0,2,10,3450.0,0,16,0,-122.025,3350.0,39750,6,1,0,0,1,0,0,0,0,0,0,720000.0
80,3,2.5,5100.0,2.0,0,2,8,2350.0,0,15,0,-122.008,2350.0,5363,5,1,0,1,0,0,0,0,0,0,0,390000.0
81,4,2.5,5889.0,2.0,0,2,7,1900.0,0,26,0,-122.031,1870.0,6405,5,1,0,1,0,0,0,0,0,0,0,360000.0
82,2,1.0,6720.0,1.0,0,2,7,1010.0,1010,70,0,-122.291,1720.0,6720,5,2,0,1,0,0,0,0,0,0,0,355000.0
83,3,1.5,8712.0,1.0,0,2,8,1680.0,0,54,0,-122.149,1850.0,8797,6,2,0,0,0,1,0,0,0,0,0,356000.0
84,3,1.0,6634.0,1.0,0,2,6,960.0,0,66,0,-122.31,1570.0,7203,5,2,0,0,1,0,0,0,0,0,0,315000.0
85,3,1.5,3600.0,2.0,0,2,9,1900.0,240,93,0,-122.365,2020.0,4800,5,2,0,0,0,0,0,0,1,0,0,806525.0
86,5,2.25,8400.0,1.5,0,3,7,2660.0,0,57,0,-122.189,1590.0,8165,5,2,1,0,0,0,0,0,0,0,0,305000.0
87,3,3.25,6278.0,2.0,0,2,9,1980.0,790,12,0,-122.199,1900.0,7349,5,1,0,0,1,0,0,0,0,0,0,461000.0
88,2,2.25,2040.0,2.0,0,2,7,1610.0,0,39,0,-122.194,1950.0,2025,5,1,0,0,1,0,0,0,0,0,0,215000.0
89,2,1.75,1066.0,2.0,0,2,7,765.0,265,12,0,-122.387,1030.0,1106,5,1,0,0,0,0,1,0,0,0,0,335000.0
91,5,2.75,6353.0,2.0,0,2,10,3520.0,0,17,0,-122.391,2520.0,6250,6,1,0,0,0,0,0,0,1,0,0,806525.0
92,3,1.0,10500.0,1.0,0,2,7,1200.0,0,56,0,-122.351,1350.0,10500,6,2,0,0,0,0,0,0,0,0,0,153000.0
93,3,1.5,5000.0,1.0,0,2,8,1290.0,290,79,0,-122.386,1570.0,4500,5,2,0,0,0,0,1,0,0,0,0,430000.0
94,3,1.5,5000.0,1.0,0,2,8,1290.0,290,79,0,-122.386,1570.0,4500,5,2,0,0,0,0,1,0,0,0,0,700000.0
95,4,2.5,10250.0,1.0,0,2,7,2390.0,910,72,1991,-122.249,1950.0,6045,5,2,0,0,0,0,0,0,0,0,1,806525.0
96,3,1.75,15681.0,1.0,0,2,7,1960.0,0,51,0,-122.277,1750.0,15616,6,2,0,0,0,0,0,0,0,0,0,247500.0
97,4,1.5,6400.0,1.0,0,2,7,1160.0,0,43,0,-122.378,1160.0,6400,5,1,0,0,0,0,0,0,0,0,0,199000.0
98,3,1.75,41800.0,1.0,0,3,7,1210.0,600,38,0,-121.958,1650.0,135036,5,1,0,1,0,0,0,0,0,0,0,314000.0
99,3,2.5,36847.0,2.0,2,2,9,2320.0,0,26,0,-121.714,2550.0,35065,5,1,0,0,1,0,0,0,0,0,0,437500.0
100,3,2.5,13241.0,1.5,0,3,9,1270.0,800,108,0,-122.315,2200.0,4500,5,2,0,0,0,0,0,0,1,0,0,806525.0
101,3,2.0,3478.0,1.5,0,2,7,1440.0,540,89,0,-122.372,1610.0,3478,5,2,0,0,0,0,1,0,0,0,0,555000.0
102,3,2.25,107593.0,2.0,0,2,8,2190.0,0,35,0,-122.08,2570.0,47777,5,1,0,0,0,0,0,1,0,0,0,699950.0
103,3,2.5,8113.0,2.0,0,2,8,2920.0,0,68,2010,-122.196,2370.0,8113,5,2,0,0,0,0,0,0,0,0,1,806525.0
104,3,1.0,33919.0,1.0,0,2,7,1210.0,0,64,0,-122.184,1640.0,14910,5,2,0,1,0,0,0,0,0,0,0,290000.0
105,3,2.5,10005.0,1.0,0,2,8,1460.0,880,40,0,-122.133,2250.0,8162,6,1,0,1,0,0,0,0,0,0,0,375000.0
106,3,1.0,4005.0,1.5,0,2,7,1170.0,500,79,0,-122.38,1240.0,4005,5,2,0,0,0,0,1,0,0,0,0,460000.0
107,2,1.75,2493.0,1.0,0,2,8,1240.0,0,33,0,-122.322,1270.0,4966,5,1,1,0,0,0,0,0,0,0,0,188500.0
108,4,2.5,28037.0,2.0,0,2,10,3140.0,0,27,0,-122.082,2990.0,35001,6,1,0,0,0,0,0,1,0,0,0,680000.0
109,5,1.75,12342.0,2.0,0,2,7,2030.0,0,76,0,-122.109,2500.0,9433,5,2,0,0,0,0,0,1,0,0,0,470000.0
110,4,2.5,9624.0,2.0,0,2,8,2310.0,0,34,0,-122.053,1940.0,9636,5,1,0,0,0,0,1,0,0,0,0,597750.0
111,3,1.75,3328.0,1.0,0,3,6,700.0,560,113,0,-122.349,1380.0,3536,6,2,0,0,0,0,1,0,0,0,0,570000.0
112,3,1.75,12600.0,1.0,0,2,7,1160.0,380,38,0,-122.031,1540.0,11656,5,1,0,1,0,0,0,0,0,0,0,272500.0
113,3,1.75,5969.0,1.0,2,2,7,1080.0,1000,47,0,-122.295,2090.0,5500,5,1,0,1,0,0,0,0,0,0,0,329950.0
114,4,2.5,16171.0,2.0,3,2,9,2520.0,710,17,0,-122.253,2640.0,8517,5,1,0,0,0,0,0,0,0,0,0,480000.0
115,3,3.5,6350.0,2.0,0,2,8,2780.0,1600,118,1999,-122.368,1830.0,6350,5,2,0,0,0,0,1,0,0,0,0,740500.0
116,3,3.5,1102.0,3.0,0,2,8,1590.0,0,8,0,-122.347,1620.0,3166,5,0,0,0,0,0,1,0,0,0,0,518500.0
117,2,1.0,6780.0,1.0,0,2,6,880.0,0,73,0,-122.248,1190.0,6780,5,2,1,0,0,0,0,0,0,0,0,205425.0
118,4,2.0,9600.0,1.0,0,2,6,1570.0,0,68,0,-122.303,1880.0,9000,6,2,0,0,0,0,0,0,0,0,0,171800.0
119,4,1.0,2982.0,1.5,0,2,7,1610.0,0,93,0,-122.294,1610.0,4040,6,2,0,0,0,1,0,0,0,0,0,535000.0
120,3,2.5,6474.0,1.0,2,2,8,1560.0,840,54,0,-122.386,2340.0,10856,6,2,0,0,0,0,1,0,0,0,0,660000.0
121,3,2.0,9132.0,1.0,0,2,7,1450.0,0,31,0,-122.226,1580.0,9104,5,1,0,0,0,1,0,0,0,0,0,391500.0
122,2,1.0,6000.0,1.0,0,2,6,770.0,0,65,0,-122.364,1710.0,6000,6,2,0,0,0,0,1,0,0,0,0,395000.0
123,4,1.75,4400.0,1.5,0,3,7,1720.0,380,94,0,-122.266,1850.0,4400,5,2,0,1,0,0,0,0,0,0,0,445000.0
124,3,2.25,10204.0,2.0,0,2,9,2910.0,0,28,0,-122.098,2700.0,13992,5,1,0,0,0,0,0,1,0,0,0,770000.0
125,4,2.75,17789.0,1.5,0,2,8,1980.0,770,104,1992,-122.212,3060.0,11275,6,2,0,0,0,0,0,0,0,0,1,806525.0
126,3,2.25,8201.0,1.0,2,2,8,1620.0,480,51,0,-122.244,2660.0,8712,5,2,1,0,0,0,0,0,0,0,0,445000.0
127,4,2.25,8811.0,1.0,0,2,8,1360.0,800,40,0,-122.39,2090.0,8400,5,1,0,0,0,0,0,0,0,0,0,260000.0
128,5,3.5,4960.0,2.0,0,3,7,1720.0,600,92,0,-122.352,1700.0,4960,5,2,0,0,0,0,1,0,0,0,0,806525.0
129,4,2.5,4310.0,2.0,0,2,7,2070.0,0,14,0,-121.85,1970.0,3748,6,1,0,0,0,1,0,0,0,0,0,430000.0
130,3,1.75,7875.0,1.0,0,2,7,1060.0,0,32,0,-122.152,1420.0,7680,6,1,1,0,0,0,0,0,0,0,0,212000.0
131,4,2.25,9603.0,1.0,0,2,8,1440.0,570,32,0,-122.054,2060.0,9793,6,1,0,0,0,0,1,0,0,0,0,660500.0
132,3,3.5,111078.0,1.5,0,2,9,2460.0,1490,29,0,-122.072,2480.0,88500,5,1,0,0,0,0,0,1,0,0,0,784000.0
133,3,2.5,2287.0,2.0,0,2,8,1390.0,620,4,0,-121.998,1690.0,1662,5,0,0,0,0,0,0,1,0,0,0,453246.0
134,4,3.5,2278.0,3.0,0,2,9,2140.0,0,13,0,-122.38,1540.0,2285,6,1,0,0,0,0,1,0,0,0,0,675000.0
135,3,1.75,17390.0,1.0,0,2,7,1320.0,0,62,0,-122.296,1550.0,19265,5,2,1,0,0,0,0,0,0,0,0,199000.0
136,4,1.75,7840.0,1.0,0,2,7,1010.0,1010,50,0,-122.299,1750.0,8140,5,1,1,0,0,0,0,0,0,0,0,220000.0
137,4,2.25,10002.0,1.0,0,2,8,1340.0,1250,50,0,-122.266,1550.0,10436,5,1,0,0,1,0,0,0,0,0,0,452000.0
138,2,1.0,4440.0,1.0,0,2,6,1190.0,0,37,0,-122.287,1060.0,5715,5,1,0,0,1,0,0,0,0,0,0,382500.0
139,3,2.25,1249.0,3.0,0,2,8,1170.0,0,4,0,-122.381,1350.0,1310,5,0,0,0,0,0,1,0,0,0,0,519950.0
140,2,1.0,3200.0,1.0,0,2,7,1110.0,0,93,0,-122.358,1170.0,3600,5,2,0,0,0,0,0,0,1,0,0,665000.0
141,5,2.5,9375.0,1.0,0,2,8,1550.0,1270,50,0,-122.128,2820.0,9375,5,1,0,0,0,0,0,0,1,0,0,527700.0
142,3,1.0,8579.0,1.0,0,2,7,1010.0,600,56,0,-122.171,1610.0,8579,6,2,0,1,0,0,0,0,0,0,0,205000.0
143,3,1.0,8097.0,1.0,0,2,7,940.0,120,95,0,-122.351,1560.0,7940,6,2,0,1,0,0,0,0,0,0,0,420000.0
144,4,2.25,8517.0,1.0,0,2,8,1380.0,650,57,0,-122.174,2230.0,8824,6,2,0,0,0,0,0,0,1,0,0,500000.0
145,4,2.5,315374.0,2.0,0,2,9,3670.0,0,24,0,-122.026,2840.0,87991,5,1,0,0,0,0,0,1,0,0,0,806525.0
146,4,1.0,4000.0,2.0,0,2,8,2370.0,180,113,0,-122.353,2200.0,4000,5,2,0,0,0,0,0,0,0,1,0,806525.0
147,2,2.5,60984.0,2.0,0,2,7,2420.0,0,11,0,-121.943,1940.0,193842,5,1,0,0,0,0,1,0,0,0,0,430000.0
148,5,2.0,12500.0,1.0,0,2,8,1130.0,1130,58,0,-122.286,1360.0,18000,5,2,0,0,0,0,0,0,0,0,0,258000.0
149,3,1.0,3455.0,1.0,0,2,7,980.0,450,71,0,-122.336,1450.0,4599,5,2,0,0,0,0,1,0,0,0,0,511000.0
150,3,2.0,3090.0,2.0,0,2,8,1360.0,0,28,0,-122.353,1500.0,3090,5,1,0,0,0,0,1,0,0,0,0,532170.0
151,3,1.0,5000.0,1.5,0,2,7,1110.0,0,71,0,-122.359,1420.0,5000,6,2,0,0,0,0,1,0,0,0,0,560000.0
152,3,1.0,8200.0,1.0,0,2,7,1250.0,0,64,0,-122.304,1680.0,8633,6,2,1,0,0,0,0,0,0,0,0,282950.0
153,4,3.25,19850.0,2.0,3,2,10,3540.0,1640,12,0,-122.162,3160.0,9750,6,1,0,0,0,0,0,0,1,0,0,806525.0
154,1,1.0,5100.0,1.0,0,2,7,700.0,0,76,0,-122.3,1010.0,5100,5,2,0,0,0,0,0,1,0,0,0,350000.0
155,3,1.0,7669.0,1.0,0,2,7,1180.0,0,51,0,-122.176,1190.0,7669,5,2,0,1,0,0,0,0,0,0,0,215000.0
156,5,3.5,25245.0,2.0,0,2,9,2500.0,1460,22,0,-122.172,2640.0,13675,5,1,0,0,1,0,0,0,0,0,0,650000.0
157,4,2.75,7500.0,1.0,0,2,8,1620.0,1020,51,0,-122.369,1980.0,7875,5,2,0,0,0,0,0,0,0,0,0,320000.0
158,3,2.0,7198.0,1.5,0,2,7,1270.0,0,102,2013,-121.996,1160.0,7198,5,2,1,0,0,0,0,0,0,0,0,247000.0
159,4,1.75,11180.0,1.0,0,2,8,1760.0,0,50,0,-122.118,1730.0,11180,5,1,0,0,0,1,0,0,0,0,0,320000.0
160,5,2.25,8632.0,1.0,0,2,7,1030.0,1030,56,0,-122.335,1010.0,11680,5,2,1,0,0,0,0,0,0,0,0,255000.0
161,3,1.75,9660.0,1.0,0,2,7,1780.0,0,56,0,-122.193,1200.0,9660,6,2,0,0,0,1,0,0,0,0,0,438000.0
162,3,2.5,16603.0,2.0,0,2,10,3400.0,0,18,0,-122.023,3400.0,12601,6,1,0,0,0,0,0,0,0,1,0,806525.0
163,3,2.75,7280.0,1.0,0,2,7,1160.0,750,39,0,-122.224,1710.0,8152,5,1,0,0,0,1,0,0,0,0,0,441000.0
164,3,2.0,38332.0,1.0,0,2,7,1010.0,1010,43,0,-122.023,2110.0,36590,5,1,0,0,0,0,1,0,0,0,0,420000.0
165,3,1.75,7000.0,1.0,0,2,7,1180.0,400,42,0,-122.168,1640.0,7500,5,1,0,0,0,1,0,0,0,0,0,370000.0
166,2,1.75,7250.0,1.0,0,3,5,700.0,640,69,0,-122.327,1830.0,9750,6,2,1,0,0,0,0,0,0,0,0,269950.0
167,4,2.5,4499.0,2.0,0,2,9,2680.0,0,19,0,-122.125,2920.0,4500,6,1,0,0,0,0,0,0,1,0,0,806525.0
169,3,2.0,8336.0,1.0,0,3,7,1370.0,0,54,0,-122.331,1770.0,7288,5,2,0,1,0,0,0,0,0,0,0,371500.0
170,3,1.75,21000.0,1.0,0,2,7,1560.0,0,64,0,-122.337,1070.0,7920,6,2,0,0,1,0,0,0,0,0,0,284000.0
171,3,1.75,7140.0,1.0,0,2,7,1670.0,490,40,0,-122.374,1930.0,7350,6,1,0,0,0,0,0,0,0,0,0,272000.0
172,3,1.5,7912.0,1.5,0,2,7,1340.0,0,63,0,-122.339,1480.0,7940,5,2,0,1,0,0,0,0,0,0,0,313000.0
173,4,2.5,35003.0,2.0,0,2,10,2570.0,1310,34,0,-122.182,3740.0,35230,6,1,0,0,0,0,0,0,1,0,0,806525.0
174,4,2.25,8190.0,2.0,0,2,8,2590.0,0,38,0,-122.125,2260.0,8335,5,1,0,0,0,0,0,0,1,0,0,673000.0
175,3,2.5,1100.0,2.0,0,2,8,820.0,300,10,0,-122.31,1590.0,1795,6,0,0,0,0,0,0,1,0,0,0,425000.0
176,5,2.75,5400.0,1.0,0,2,7,1320.0,650,32,0,-122.308,1280.0,2150,5,1,0,0,0,1,0,0,0,0,0,399950.0
177,3,1.0,4800.0,1.0,0,2,6,1220.0,0,117,0,-122.307,1200.0,4800,5,2,0,0,0,0,0,1,0,0,0,385000.0
178,3,1.5,7560.0,1.0,2,2,7,1320.0,630,43,0,-121.999,1950.0,8941,5,1,1,0,0,0,0,0,0,0,0,269950.0
179,2,1.0,8220.0,1.0,0,2,7,1060.0,290,69,0,-122.358,1540.0,8280,6,2,0,0,0,0,1,0,0,0,0,330000.0
180,3,2.5,5797.0,2.0,0,2,7,1670.0,0,30,0,-122.179,1670.0,6183,5,1,1,0,0,0,0,0,0,0,0,260000.0
181,4,3.0,5125.0,1.5,0,2,7,1680.0,700,93,0,-122.376,1410.0,5375,6,2,0,0,1,0,0,0,0,0,0,470000.0
